rouge_scores,bleu_score,meteor_score,bertscore_precision,bertscore_recall,bertscore_f1
"{'rouge-1': {'r': 0.14177215189873418, 'p': 0.4444444444444444, 'f': 0.21497120554595664}, 'rouge-2': {'r': 0.06680161943319839, 'p': 0.2323943661971831, 'f': 0.10377358143724548}, 'rouge-l': {'r': 0.13924050632911392, 'p': 0.4365079365079365, 'f': 0.2111324339528664}}",0.034309948839916934,0.16080883896449485,0.73777836561203,0.7153204679489136,0.726375937461853
"{'rouge-1': {'r': 0.12090680100755667, 'p': 0.3, 'f': 0.17235188100396787}, 'rouge-2': {'r': 0.022684310018903593, 'p': 0.05581395348837209, 'f': 0.03225806040673108}, 'rouge-l': {'r': 0.11838790931989925, 'p': 0.29375, 'f': 0.1687612167310774}}",0.02656192027768733,0.1514051686044307,0.7178089618682861,0.7130008935928345,0.7153968811035156
"{'rouge-1': {'r': 0.009146341463414634, 'p': 0.125, 'f': 0.01704545327479348}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.009146341463414634, 'p': 0.125, 'f': 0.01704545327479348}}",8.678059012913837e-163,0.018288983877124777,0.6362912058830261,0.5596316456794739,0.5955044627189636
"{'rouge-1': {'r': 0.053763440860215055, 'p': 0.15873015873015872, 'f': 0.08032128136062339}, 'rouge-2': {'r': 0.004464285714285714, 'p': 0.013888888888888888, 'f': 0.006756753075239406}, 'rouge-l': {'r': 0.053763440860215055, 'p': 0.15873015873015872, 'f': 0.08032128136062339}}",0.00911264398213925,0.11303219175792854,0.7094998359680176,0.6481921076774597,0.6774617433547974
"{'rouge-1': {'r': 0.12459016393442623, 'p': 0.4418604651162791, 'f': 0.19437339810309984}, 'rouge-2': {'r': 0.042270531400966184, 'p': 0.16666666666666666, 'f': 0.06743737634846932}, 'rouge-l': {'r': 0.11967213114754098, 'p': 0.42441860465116277, 'f': 0.1867007638320001}}",0.015225170061726889,0.12566582753759564,0.6728497743606567,0.6581146121025085,0.6654006242752075
"{'rouge-1': {'r': 0.2109375, 'p': 0.3776223776223776, 'f': 0.27067668713035725}, 'rouge-2': {'r': 0.06832298136645963, 'p': 0.12154696132596685, 'f': 0.08747514449825922}, 'rouge-l': {'r': 0.19921875, 'p': 0.35664335664335667, 'f': 0.2556390931453949}}",0.08186156267039212,0.23210621074864374,0.7485321760177612,0.7081614136695862,0.7277873754501343
"{'rouge-1': {'r': 0.03389830508474576, 'p': 0.1935483870967742, 'f': 0.05769230515578783}, 'rouge-2': {'r': 0.015555555555555555, 'p': 0.1, 'f': 0.02692307459319547}, 'rouge-l': {'r': 0.03389830508474576, 'p': 0.1935483870967742, 'f': 0.05769230515578783}}",0.001141146083445941,0.06000148773059824,0.6903939247131348,0.6346973180770874,0.661375105381012
"{'rouge-1': {'r': 0.009411764705882352, 'p': 0.23529411764705882, 'f': 0.018099546771667276}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.009411764705882352, 'p': 0.23529411764705882, 'f': 0.018099546771667276}}",1.1658887012798122e-166,0.012084976466098461,0.6416999697685242,0.5556915998458862,0.5956068634986877
"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}",2.2004593709044981e-159,0.022603978300180832,0.6571799516677856,0.5613981485366821,0.6055247783660889
"{'rouge-1': {'r': 0.11895910780669144, 'p': 0.5161290322580645, 'f': 0.19335347127572772}, 'rouge-2': {'r': 0.0473186119873817, 'p': 0.234375, 'f': 0.07874015468507391}, 'rouge-l': {'r': 0.11524163568773234, 'p': 0.5, 'f': 0.18731117520322013}}",0.007535939369986052,0.13174575399871502,0.7640774846076965,0.6921178698539734,0.7263196706771851
"{'rouge-1': {'r': 0.01436265709156194, 'p': 0.36363636363636365, 'f': 0.027633850736992215}, 'rouge-2': {'r': 0.0014347202295552368, 'p': 0.043478260869565216, 'f': 0.0027777771592979775}, 'rouge-l': {'r': 0.01436265709156194, 'p': 0.36363636363636365, 'f': 0.027633850736992215}}",4.8594709578200695e-14,0.016555440761514866,0.714479923248291,0.586230456829071,0.6440324783325195
"{'rouge-1': {'r': 0.06818181818181818, 'p': 0.4090909090909091, 'f': 0.11688311443413735}, 'rouge-2': {'r': 0.02416918429003021, 'p': 0.1702127659574468, 'f': 0.04232804015047183}, 'rouge-l': {'r': 0.06818181818181818, 'p': 0.4090909090909091, 'f': 0.11688311443413735}}",0.00062434288196889,0.06749069673601149,0.7253348231315613,0.6385773420333862,0.679196834564209
"{'rouge-1': {'r': 0.06557377049180328, 'p': 0.26229508196721313, 'f': 0.10491802958688534}, 'rouge-2': {'r': 0.046263345195729534, 'p': 0.18571428571428572, 'f': 0.0740740708809183}, 'rouge-l': {'r': 0.06557377049180328, 'p': 0.26229508196721313, 'f': 0.10491802958688534}}",0.0160105997471905,0.10553603217658333,0.6985681653022766,0.661568284034729,0.6795649528503418
"{'rouge-1': {'r': 0.15960912052117263, 'p': 0.6621621621621622, 'f': 0.25721784463898706}, 'rouge-2': {'r': 0.05555555555555555, 'p': 0.27848101265822783, 'f': 0.09263157617427156}, 'rouge-l': {'r': 0.1498371335504886, 'p': 0.6216216216216216, 'f': 0.24146981314292412}}",0.0009808866321351184,0.10615933412604042,0.8063297867774963,0.7264983057975769,0.7643352150917053
"{'rouge-1': {'r': 0.05128205128205128, 'p': 0.29508196721311475, 'f': 0.08737863825395899}, 'rouge-2': {'r': 0.014457831325301205, 'p': 0.08571428571428572, 'f': 0.024742265571261805}, 'rouge-l': {'r': 0.05128205128205128, 'p': 0.29508196721311475, 'f': 0.08737863825395899}}",0.0017077333596989908,0.08273340227326118,0.7620091438293457,0.6940189599990845,0.7264266014099121
"{'rouge-1': {'r': 0.18282548476454294, 'p': 0.5454545454545454, 'f': 0.27385891740147383}, 'rouge-2': {'r': 0.0935412026726058, 'p': 0.30434782608695654, 'f': 0.14310050747676092}, 'rouge-l': {'r': 0.1745152354570637, 'p': 0.5206611570247934, 'f': 0.2614107846213909}}",0.05382898244787329,0.18990488710084927,0.7032480239868164,0.6809988021850586,0.6919445991516113
"{'rouge-1': {'r': 0.06363636363636363, 'p': 0.208955223880597, 'f': 0.09756097203073982}, 'rouge-2': {'r': 0.003816793893129771, 'p': 0.013513513513513514, 'f': 0.005952377517717401}, 'rouge-l': {'r': 0.06363636363636363, 'p': 0.208955223880597, 'f': 0.09756097203073982}}",0.002260708005886115,0.08455994944798813,0.7239327430725098,0.6399232745170593,0.679340660572052
"{'rouge-1': {'r': 0.13425925925925927, 'p': 0.58, 'f': 0.21804510972921026}, 'rouge-2': {'r': 0.07086614173228346, 'p': 0.33962264150943394, 'f': 0.11726384079152041}, 'rouge-l': {'r': 0.12962962962962962, 'p': 0.56, 'f': 0.21052631273672906}}",0.016359469174370363,0.14439738410456984,0.771842896938324,0.7082513570785522,0.7386810183525085
"{'rouge-1': {'r': 0.03214285714285714, 'p': 0.16981132075471697, 'f': 0.054054051377503756}, 'rouge-2': {'r': 0.002849002849002849, 'p': 0.016129032258064516, 'f': 0.004842612460413259}, 'rouge-l': {'r': 0.03214285714285714, 'p': 0.16981132075471697, 'f': 0.054054051377503756}}",2.105770629277573e-80,0.06342418600345552,0.694723904132843,0.6431180238723755,0.6679255962371826
"{'rouge-1': {'r': 0.033932135728542916, 'p': 0.12056737588652482, 'f': 0.052959498129822334}, 'rouge-2': {'r': 0.00303951367781155, 'p': 0.01098901098901099, 'f': 0.004761901367462736}, 'rouge-l': {'r': 0.033932135728542916, 'p': 0.12056737588652482, 'f': 0.052959498129822334}}",0.004268296772162553,0.0757218141199542,0.664937436580658,0.6501169800758362,0.6574437022209167
"{'rouge-1': {'r': 0.1064516129032258, 'p': 0.38372093023255816, 'f': 0.16666666326650348}, 'rouge-2': {'r': 0.037783375314861464, 'p': 0.16666666666666666, 'f': 0.061601639697431106}, 'rouge-l': {'r': 0.1064516129032258, 'p': 0.38372093023255816, 'f': 0.16666666326650348}}",0.006880539401467451,0.11929087552674146,0.731579601764679,0.6743098497390747,0.7017782330513
"{'rouge-1': {'r': 0.012658227848101266, 'p': 0.26666666666666666, 'f': 0.024169183424758843}, 'rouge-2': {'r': 0.0012755102040816326, 'p': 0.03125, 'f': 0.0024509796386007693}, 'rouge-l': {'r': 0.012658227848101266, 'p': 0.26666666666666666, 'f': 0.024169183424758843}}",6.623032614409254e-89,0.01457616983106593,0.6766937971115112,0.586889386177063,0.6286003589630127
"{'rouge-1': {'r': 0.011029411764705883, 'p': 0.3103448275862069, 'f': 0.02130177448509508}, 'rouge-2': {'r': 0.001728608470181504, 'p': 0.0625, 'f': 0.0033641710489694335}, 'rouge-l': {'r': 0.011029411764705883, 'p': 0.3103448275862069, 'f': 0.02130177448509508}}",7.039737916221623e-94,0.012067809275899477,0.6868014335632324,0.5972264409065247,0.6388895511627197
"{'rouge-1': {'r': 0.11864406779661017, 'p': 0.37168141592920356, 'f': 0.1798715166742019}, 'rouge-2': {'r': 0.028282828282828285, 'p': 0.11382113821138211, 'f': 0.045307440177365356}, 'rouge-l': {'r': 0.10451977401129943, 'p': 0.3274336283185841, 'f': 0.15845824044293855}}",0.022287274015946358,0.14276897578956116,0.7147749066352844,0.6738258004188538,0.6936965584754944
"{'rouge-1': {'r': 0.02912621359223301, 'p': 0.2857142857142857, 'f': 0.05286343444429356}, 'rouge-2': {'r': 0.003703703703703704, 'p': 0.044444444444444446, 'f': 0.006837605417488789}, 'rouge-l': {'r': 0.02669902912621359, 'p': 0.2619047619047619, 'f': 0.04845814810068123}}",4.04391776060218e-84,0.02654037524039187,0.6798721551895142,0.6132946014404297,0.6448695063591003
"{'rouge-1': {'r': 0.1729518855656697, 'p': 0.6394230769230769, 'f': 0.2722620232606448}, 'rouge-2': {'r': 0.08499095840867993, 'p': 0.36153846153846153, 'f': 0.13762810819161875}, 'rouge-l': {'r': 0.17035110533159947, 'p': 0.6298076923076923, 'f': 0.26816785744692934}}",0.014603788640130623,0.13763948784263877,0.7348856925964355,0.7280769348144531,0.7314654588699341
"{'rouge-1': {'r': 0.14573991031390135, 'p': 0.65, 'f': 0.23809523510311428}, 'rouge-2': {'r': 0.05872193436960276, 'p': 0.32075471698113206, 'f': 0.09927007037672765}, 'rouge-l': {'r': 0.1412556053811659, 'p': 0.63, 'f': 0.2307692277771069}}",0.006986202362823977,0.11794803225575394,0.735912561416626,0.6748734712600708,0.7040725350379944
"{'rouge-1': {'r': 0.09240246406570841, 'p': 0.5357142857142857, 'f': 0.15761821115086755}, 'rouge-2': {'r': 0.0440251572327044, 'p': 0.3076923076923077, 'f': 0.07702888364210862}, 'rouge-l': {'r': 0.09034907597535935, 'p': 0.5238095238095238, 'f': 0.1541155841806399}}",0.00034837788182248523,0.07670990498386836,0.6843194365501404,0.6251600980758667,0.6534034609794617
"{'rouge-1': {'r': 0.16923076923076924, 'p': 0.4782608695652174, 'f': 0.24999999613894636}, 'rouge-2': {'r': 0.07196029776674938, 'p': 0.20567375886524822, 'f': 0.10661764321860145}, 'rouge-l': {'r': 0.16, 'p': 0.45217391304347826, 'f': 0.23636363250258272}}",0.05890341839472168,0.1799603966647895,0.7914939522743225,0.7436627149581909,0.7668331861495972
"{'rouge-1': {'r': 0.029572836801752465, 'p': 0.2621359223300971, 'f': 0.05314960447720339}, 'rouge-2': {'r': 0.005212858384013901, 'p': 0.04838709677419355, 'f': 0.00941176294995496}, 'rouge-l': {'r': 0.029572836801752465, 'p': 0.2621359223300971, 'f': 0.05314960447720339}}",2.649282567139812e-05,0.043064735546323105,0.7205587029457092,0.6730221509933472,0.695979654788971
"{'rouge-1': {'r': 0.1026252983293556, 'p': 0.3706896551724138, 'f': 0.16074766015519265}, 'rouge-2': {'r': 0.0444015444015444, 'p': 0.15436241610738255, 'f': 0.06896551377166008}, 'rouge-l': {'r': 0.1026252983293556, 'p': 0.3706896551724138, 'f': 0.16074766015519265}}",0.015512377429975702,0.12586913786149706,0.7198334336280823,0.6743890047073364,0.6963706016540527
"{'rouge-1': {'r': 0.19330855018587362, 'p': 0.49523809523809526, 'f': 0.2780748622715835}, 'rouge-2': {'r': 0.11838006230529595, 'p': 0.3064516129032258, 'f': 0.1707865128338342}, 'rouge-l': {'r': 0.19330855018587362, 'p': 0.49523809523809526, 'f': 0.2780748622715835}}",0.09086528565334516,0.2480033281975976,0.6878232359886169,0.6609537601470947,0.6741208434104919
"{'rouge-1': {'r': 0.21232876712328766, 'p': 0.6169154228855721, 'f': 0.31592356306920366}, 'rouge-2': {'r': 0.1232876712328767, 'p': 0.4090909090909091, 'f': 0.1894736806515236}, 'rouge-l': {'r': 0.2089041095890411, 'p': 0.6069651741293532, 'f': 0.3108280216679298}}",0.042285362804485256,0.16870584040403794,0.7058864235877991,0.7208749651908875,0.7133020162582397
"{'rouge-1': {'r': 0.11420982735723771, 'p': 0.4574468085106383, 'f': 0.182784268853561}, 'rouge-2': {'r': 0.044989775051124746, 'p': 0.18565400843881857, 'f': 0.07242798039884178}, 'rouge-l': {'r': 0.11288180610889774, 'p': 0.4521276595744681, 'f': 0.18065887034133996}}",0.01594005709603021,0.12588157630473878,0.6914300322532654,0.6763478517532349,0.6838058233261108
"{'rouge-1': {'r': 0.04713804713804714, 'p': 0.22580645161290322, 'f': 0.07799442611183972}, 'rouge-2': {'r': 0.011661807580174927, 'p': 0.0625, 'f': 0.019656017005596528}, 'rouge-l': {'r': 0.04713804713804714, 'p': 0.22580645161290322, 'f': 0.07799442611183972}}",0.0029031968830915624,0.08328638726344531,0.7841589450836182,0.6792513132095337,0.7279448509216309
"{'rouge-1': {'r': 0.015053763440860216, 'p': 0.25925925925925924, 'f': 0.028455283515516596}, 'rouge-2': {'r': 0.0032310177705977385, 'p': 0.07692307692307693, 'f': 0.006201549613893493}, 'rouge-l': {'r': 0.015053763440860216, 'p': 0.25925925925925924, 'f': 0.028455283515516596}}",2.083623895507133e-11,0.0191666054089515,0.7108310461044312,0.6144178509712219,0.6591173410415649
"{'rouge-1': {'r': 0.1099290780141844, 'p': 0.3522727272727273, 'f': 0.16756756394214767}, 'rouge-2': {'r': 0.04221635883905013, 'p': 0.15841584158415842, 'f': 0.06666666334383696}, 'rouge-l': {'r': 0.10638297872340426, 'p': 0.3409090909090909, 'f': 0.16216215853674223}}",0.009256609433095432,0.09170401714327533,0.7219855785369873,0.6802436709403992,0.7004932761192322
"{'rouge-1': {'r': 0.05869074492099323, 'p': 0.5652173913043478, 'f': 0.10633946659824944}, 'rouge-2': {'r': 0.014109347442680775, 'p': 0.1702127659574468, 'f': 0.026058630508069128}, 'rouge-l': {'r': 0.05869074492099323, 'p': 0.5652173913043478, 'f': 0.10633946659824944}}",2.455765040252185e-06,0.0505282549829094,0.6982428431510925,0.6241188645362854,0.6591033935546875
"{'rouge-1': {'r': 0.15384615384615385, 'p': 0.4484848484848485, 'f': 0.2291021633790701}, 'rouge-2': {'r': 0.04792332268370607, 'p': 0.16666666666666666, 'f': 0.07444168387589374}, 'rouge-l': {'r': 0.14553014553014554, 'p': 0.42424242424242425, 'f': 0.21671826245027756}}",0.03323328422760021,0.1730025054030157,0.7409360408782959,0.7280445694923401,0.7344337105751038
"{'rouge-1': {'r': 0.15942028985507245, 'p': 0.291005291005291, 'f': 0.20599250479000977}, 'rouge-2': {'r': 0.04106280193236715, 'p': 0.07423580786026202, 'f': 0.05287713382758252}, 'rouge-l': {'r': 0.14782608695652175, 'p': 0.2698412698412698, 'f': 0.19101123138177012}}",0.10663349566069949,0.24330560747579164,0.7236349582672119,0.7216107249259949,0.7226214408874512
"{'rouge-1': {'r': 0.058355437665782495, 'p': 0.4489795918367347, 'f': 0.10328638294066436}, 'rouge-2': {'r': 0.028688524590163935, 'p': 0.24561403508771928, 'f': 0.05137614491601725}, 'rouge-l': {'r': 0.058355437665782495, 'p': 0.4489795918367347, 'f': 0.10328638294066436}}",0.0002554311559041786,0.05880126953125001,0.7447293996810913,0.6356226801872253,0.6858640313148499
"{'rouge-1': {'r': 0.0202991452991453, 'p': 0.16101694915254236, 'f': 0.036053128941378215}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.019230769230769232, 'p': 0.15254237288135594, 'f': 0.0341555957345471}}",2.2899244786586948e-05,0.04057174862950943,0.6449252963066101,0.6152575016021729,0.6297421455383301
"{'rouge-1': {'r': 0.0057070386810399495, 'p': 0.34615384615384615, 'f': 0.011228945407632064}, 'rouge-2': {'r': 0.000363901018922853, 'p': 0.03333333333333333, 'f': 0.0007199421909574002}, 'rouge-l': {'r': 0.0057070386810399495, 'p': 0.34615384615384615, 'f': 0.011228945407632064}}",4.728252790653051e-37,0.0052866008944652074,0.7061532139778137,0.5782246589660645,0.6358178853988647
"{'rouge-1': {'r': 0.031724137931034485, 'p': 0.1796875, 'f': 0.05392731280674111}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.028965517241379312, 'p': 0.1640625, 'f': 0.04923798103651838}}",5.603107584375821e-81,0.04764783635225703,0.6475178003311157,0.6124110817909241,0.6294752955436707
"{'rouge-1': {'r': 0.02972972972972973, 'p': 0.13253012048192772, 'f': 0.0485651184197576}, 'rouge-2': {'r': 0.00468384074941452, 'p': 0.021739130434782608, 'f': 0.007707126177584347}, 'rouge-l': {'r': 0.02702702702702703, 'p': 0.12048192771084337, 'f': 0.04415010738223003}}",0.002612004273516485,0.08216213446812401,0.6677592992782593,0.6050939559936523,0.6348840594291687
"{'rouge-1': {'r': 0.025896414342629483, 'p': 0.16883116883116883, 'f': 0.04490500632953619}, 'rouge-2': {'r': 0.0016025641025641025, 'p': 0.012195121951219513, 'f': 0.002832859136660959}, 'rouge-l': {'r': 0.02390438247011952, 'p': 0.15584415584415584, 'f': 0.04145077489603015}}",4.228353497345548e-81,0.05551571015720371,0.7393258213996887,0.6742532849311829,0.7052918076515198
"{'rouge-1': {'r': 0.11139896373056994, 'p': 0.5443037974683544, 'f': 0.1849462337385594}, 'rouge-2': {'r': 0.05818965517241379, 'p': 0.3253012048192771, 'f': 0.09872028993031633}, 'rouge-l': {'r': 0.11139896373056994, 'p': 0.5443037974683544, 'f': 0.1849462337385594}}",0.0026691945621955277,0.0951931846654014,0.6573153734207153,0.6173470616340637,0.6367045640945435
"{'rouge-1': {'r': 0.08536585365853659, 'p': 0.5568181818181818, 'f': 0.14803625147123525}, 'rouge-2': {'r': 0.038781163434903045, 'p': 0.3010752688172043, 'f': 0.06871165441993306}, 'rouge-l': {'r': 0.08536585365853659, 'p': 0.5568181818181818, 'f': 0.14803625147123525}}",0.0004638075355594211,0.08171429176159686,0.7127224206924438,0.6646470427513123,0.687845766544342
"{'rouge-1': {'r': 0.06340057636887608, 'p': 0.12290502793296089, 'f': 0.08365018562412377}, 'rouge-2': {'r': 0.002257336343115124, 'p': 0.004329004329004329, 'f': 0.0029673545451291885}, 'rouge-l': {'r': 0.06340057636887608, 'p': 0.12290502793296089, 'f': 0.08365018562412377}}",0.01838500861616829,0.12536795023280783,0.6455146074295044,0.6125851273536682,0.6286188960075378
"{'rouge-1': {'r': 0.029585798816568046, 'p': 0.4838709677419355, 'f': 0.05576208069837344}, 'rouge-2': {'r': 0.014354066985645933, 'p': 0.28125, 'f': 0.02731411136734053}, 'rouge-l': {'r': 0.029585798816568046, 'p': 0.4838709677419355, 'f': 0.05576208069837344}}",3.3667548466487684e-10,0.022333723588113953,0.7243553400039673,0.6084275245666504,0.6613496541976929
"{'rouge-1': {'r': 0.01486988847583643, 'p': 0.34782608695652173, 'f': 0.028520498322387153}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.013011152416356878, 'p': 0.30434782608695654, 'f': 0.02495543593379536}}",2.3201164211603e-168,0.014974332633144037,0.7032150030136108,0.5966641306877136,0.6455726027488708
